Name,Number of titles in library
"De Camp, L. Sprague & Pratt, Fletcher ",1
"De Camp, L. Sprague etc.",1
"DeGraeff, Allen",1
"DeWeese, Gene",3
"Dear, William",1
"Deas, Stephen",1
"Debrandt, Don H.",1
"Deighton, Len",1
"Delaney, Joseph",4
"Delany, Samuel R.",19
"Dennis, Ian",1
"Derleth, August",10
"Dibell, Ansen",1
"Dibell, Anson",1
"Dick, Philip K.",52
"Dick, Philip K. & Nelson, Ray",2
"Dick, Philip K. & Nelson, Ray ",1
"Dick, Philip K. & Zelazny, Robert",1
"Dickinson, Peter",5
"Dicks, Terrance",39
"Dicks, Terrance & Hulke, Malcolm ",1
"Dickson, Gordon R.",42
"Dickty, T.E.",1
"Dillard, J. M.",4
"Dillard, J. M. & O'Malley, Kathleen",1
"Disch, Thomas M.",10
"Doherty, G.D.",1
"Dolan, Mike",1
"Donaldson, Stephen R.",12
"Douglas, Carole Nelson",2
"Doyle, Arthur Conan",2
"Dozois, Gardner",2
"Drake, David",3
"Duane, Diane",15
"Duncan, David",3
"Duncan, Hal",2
"Dunn, Saul",2
"Dvorkin, David",3
"Dvorkin, David & Dvorkin, Daniel",1
"Dye, Charles",1
"Earnshaw, Brian",1
"Ecklar, Julia",1
"Eddings, David",15
"Eddings, David & Eddings, Leigh",1
"Eddison, E. R.",4
"Effinger, George Alec",2
"Egan, Greg",13
"Egleton, Clive",1
"Ehrlich, Max",1
"Eklund, Gordon",2
"Elder, Michael",1
"Elgin, Suzette Haden",4
"Eliott, E. C.",2
"Elliott, Nathan",1
"Ellis, D. E.",1
"Ellis, Warren",10
"Ellison, Harlan",21
"Ellison, Harlan & Bryant, Edward ",1
"Elton, Ben",2
"Elwood, Roger",2
"Elwood, Roger (ed.)",3
"Emerson, Ru",1
"Engh, M. J.",1
"Engle, Eloise",1
"Erikson, Steven",1
"Evans, Christopher",5
"Evans, E. Everett",1
"Evans, I. O",1
"Fairfax, John (ed.)",1
"Fairman, Paul W.",3
"Fane, Bron",1
"Fanthorpe, R. L.",2
"Fanthorpe, R. L. & Fanthorpe, Patricia",3
"Farland, David",1
"Farley, Ralph Milne",2
"Farmer, Philip José",49
"Farrar, Stewart",1
"Farren, Mick",2
"Farris, John",1
"Fast, Howard",1
"Faucette, John M.",1
"Fear, W. H.",1
"Feehan, Christine",1
"Feintuch, David",6
"Feist, Raymond E.",11
"Feist, Raymond E. & Rosenberg, Joel",1
"Feist, Raymond E. & Wurts, Janny",3
"Ferguson, Brad",2
"Ferman, Edward L. (ed.)",4
"Fforde, Jasper",2
"Finney, Charles G.",2
"Finney, Jack",1
"Finney, Patricia",1
"Fisher, C.",2
"Fisher, James P.",1
"Fisher, Jude",2
"Fisk, Nicholas",1
"Flinn, Denny Martin",1
"Flint, Eric & Weber, David",1
"Follett, James",1
"Follett, Ken",1
"Fontana, D. C.",1
"Fontenay, Charles",1
"Ford, John M.",2
"Ford, Richard",1
"Foreman, Russell",1
"Forward, Robert L.",6
"Forward, Robert L. & Forward-Fuller, Julie ",1
"Foster, Alan Dean",16
"Foster, M. A.",2
"Foster, Robert",1
"Fowler, Christopher",1
"Fox, Gardner F.",8
"Francis, Richard H.",1
"Frank, Pat",1
"Franklin, Jay",1
"Fraser, George MacDonald",2
"Frayn, Michael",1
"Friedberg, Gertrude",1
"Friedman, C. S.",1
"Friedman, Michael Jan",10
"Friedman, Michael Jan & Golden, Christie ",1
"Friedman, Michael Jan & Ryan, Kevin ",1
"Friedman, Michael Jan & Stern, Dave",1
"Friesner, Esther M.",1
"Fulton, Roger",1
"Fyfe, H. B.",1
"Gabaldon, Diana",2
"Gaiman, Neil",17
"Gaiman, Neil & Kramer, Ed ",1
"Galanter, Dave & Brodeur, Greg",1
"Gallagher, Steve",1
"Gallouye, Daniel F.",5
"Gantz, Kenneth F.",1
"Garcia Marquez, Gabriel",1
"Gardner, Craig Shaw",1
"Gardner, John",1
"Gardner, Martin",1
"Garfield, Leon",1
"Garner, Alan",11
"Garnett, David S.",2
"Garnett, David S. (ed.)",2
"Garrett, Randall",2
"Gaskell, Jane",3
"Gatiss, Mark",1
"Gawron, Jean Mark",1
"Gay, Anne",2
"Gearhart, Sally Miller",1
"Gedge, Pauline",1
"Gee, Sue",1
"Gemmell, David",19
"Gendall, Stuart",1
"Gentle, Mary",12
"George, David R. III & Shimerman, Armin ",1
"Gerrold, David",7
"Geston, Mark S.",2
"Gibson, William",7
"Gilbert, C. M.",1
"Gilden, Mel",1
"Gilliam, Terry",1
"Gilster, Paul",1
"Glass, Justine",1
"Gleick, James",1
"Godwin, Parke",1
"Godwin, Tom",1
"Gold, H. L.",1
"Gold, H. L. (ed.)",2
"Golden, Christie",1
"Golden, Christopher",3
"Golden, Christopher & Holder, Nancy",2
"Golden, Christopher & Sniegoski, Thomas E.",1
"Goldman, William",1
"Goldstein, Lisa",1
"Goodkind, Terry",4
"Gordon, Rex",3
"Gordon, Richard",1
"Gordon, Stuart",6
"Gotlieb, Phyllis",1
"Goulart, Ron",4
"Grabien, Deborah",1
"Grady, James",1
"Graf, L. A.",5
"Grant, Matthew",1
"Grant, Rob",2
"Graves, Robert",1
"Gray, Muriel",1
"Gray, Nicholas Stuart",3
"Grazier, James",1
"Greeley, Andrew M.",1
"Green, Jen",1
"Green, Jonathan",1
"Green, Joseph",5
"Green, Simon R.",7
"Greenberg, Martin",2
"Greenberg, Martin (ed.)",2
"Greenberg, Martin H. (ed.)",1
"Greenberg, Rosalind M.",1
"Greenberger, Robert",1
"Greenfield, Irving A.",2
"Greenhough, Terry",2
"Greenland, Colin",10
"Gregory, John",1
"Gribbin, John & Chown, Marcus",1
"Griffith, Nicola",1
"Grimwade, Peter",1
"Grimwood, Jon Courtenay",4
"Grimwood, Ken",1
"Grinnell, David",1
"Grishin, Nikolai",1
"Grossman, Lev",2
"Guin, Wyman",1
"Gunn, James E.",6
"Gunn, James E. & Sturgeon, Theodore ",1
"Gutteridge, Lindsay",2
"Hackett, John",3
"Haddon, Mark",1
"Hadley, Franklin",1
"Haggard, H. Rider",1
"Hague, G. M.",1
"Haile, Terence",1
"Haining, Peter",1
"Haining, Peter ",3
"Haining, Peter et al.",1
"Haldeman, Joe W.",13
"Haldeman, Joe W. & Haldeman, Jack C. II",1
"Haldeman, Linda",1
"Hall, Austin & Flint, Homer Eon",1
"Hall, Ronald",1
"Hallahan, William H.",1
"Halperin, James L.",1
"Hambly, Barbara",12
"Hamilton, Alex (ed.)",1
"Hamilton, Donald",1
"Hamilton, Edmond",10
"Hamilton, Laurell K.",2
"Hamilton, Peter F.",13
"Hancock, Niel",2
"Hand, Elizabeth",2
"Hansen, Vern",1
"Harbinson, W. A.",1
"Hardy, Lyndon",3
"Harker, Kenneth",2
"Harman, Andrew",1
"Harness, Charles L.",8
"Harris, Geraldine",8
"Harris, John Beynon",1
"Harris, Robert",1
"Harris, Rosemary",2
"Harrison, Harry",57
"Harrison, Harry & Aldiss, Brian",11
"Harrison, Harry & Bischoff, David",1
"Harrison, Harry & Dickson, Gordon R.",1
"Harrison, Harry & Sheckley, Robert",1
"Harrison, Harry & Stover, Leon",1
"Harrison, Harry and Minsky, Marvin",1
"Harrison, M. John",9
"Harrison, Payne",1
"Harrison, William",1
"Hartley, L. P.",1
"Hartwell, David G. & Fadiman, Clifton ",1
"Hary, Jacob & Keshishi John M. ",1
"Hatto, A. T.",1
"Hawke, Simon",5
"Hawkins, Jane E.",1
"Hay, George (ed.)",2
"Haydon, Elizabeth",1
"Hayles, Brian",1
"Hearn, Lian",4
"Heinlein, Robert A.",44
"Heller, Joseph",1
"Helprin, Mark",1
"Henderson, Zenna",4
"Henneberg, N. C.",1
"Herbert, Brian ",1
"Herbert, Brian & Anderson, Kevin J.",1
