The Moment of Eclipse,"Aldiss, Brian W.",1970,571095704,Main Collection,,-,-,,ALDI1/22a,-,,ALDI1,22,,a,,A,,y,y,y,y,y,y,y
The Moment of Eclipse,"Aldiss, Brian W.",1970,571095704,Main Collection,,-,-,,ALDI1/22b,-,,ALDI1,22,,b,,A,,y,y,y,y,y,y,y
The Comic Inferno,"Aldiss, Brian W.",1972,?,Main Collection,,-,-,,ALDI1/26,-,,ALDI1,26,,,,A,,y,y,y,y,-,y,y
Frankenstein Unbound,"Aldiss, Brian W.",1973,330245465,Main Collection,,-,-,,ALDI1/27,-,,ALDI1,27,,,,A,,y,y,y,y,y,y,y
The Eighty-Minute Hour: A Space Opera,"Aldiss, Brian W.",1974,330245473,Main Collection,,-,-,,ALDI1/28,-,,ALDI1,28,,,,A,,y,y,y,y,y,y,y
The Malacia Tapestry,"Aldiss, Brian W.",1976,?,Main Collection,,-,-,,ALDI1/29a,-,,ALDI1,29,,a,,A,,y,y,y,y,-,y,y
The Malacia Tapestry,"Aldiss, Brian W.",1976,?,Main Collection,,-,-,,ALDI1/29b,-,,ALDI1,29,,b,,A,,y,y,y,y,-,y,y
The Malacia Tapestry,"Aldiss, Brian W.",1976,?,Main Collection,,-,-,,ALDI1/29c,-,,ALDI1,29,,c,,A,,y,y,y,y,-,y,y
"Last Orders, and Other Stories","Aldiss, Brian W.",1977,9.78059E+12,Main Collection,,-,-,,ALDI1/30,-,,ALDI1,30,,,,A,,y,y,y,y,y,y,y
Enemies of the System,"Aldiss, Brian W.",1978,586049967,Main Collection,,-,-,,ALDI1/31,-,,ALDI1,31,,,,A,,y,y,y,y,y,y,y
"New Arrivals, Old Encounters","Aldiss, Brian W.",1979,9.78059E+12,Main Collection,,-,-,,ALDI1/34,-,,ALDI1,34,,,,A,,y,y,y,y,y,y,y
"Brothers of the Head, and, Where the Lines Converge","Aldiss, Brian W.",1979,586049940,Main Collection,,-,-,,ALDI1/33,-,,ALDI1,33,,,,A,,y,y,y,y,y,y,y
Life in the West,"Aldiss, Brian W.",1980,9.78055E+12,Main Collection,,-,-,,ALDI1/36-1,Squire 1,,ALDI1,36,1,,,A,,y,y,y,y,y,y,y
Helliconia Spring,"Aldiss, Brian W.",1982,9.78059E+12,Main Collection,,-,-,,ALDI1/39-1,Helliconia 1,,ALDI1,39,1,,,A,,y,y,y,y,y,y,y
Seasons in Flight,"Aldiss, Brian W.",1984,9.78059E+12,Main Collection,,-,-,,ALDI1/41,-,,ALDI1,41,,,,A,,y,y,y,y,y,y,y
Helliconia Winter,"Aldiss, Brian W.",1985,224018477,Main Collection,,-,-,,ALDI1/39-3,Helliconia 3,,ALDI1,39,3,,,A,,y,y,y,y,y,y,y
Cracken at Critical,"Aldiss, Brian W.",1987,9.78045E+12,Main Collection,,-,-,,ALDI1/42,-,,ALDI1,42,,,,A,,y,y,y,y,y,y,y
Forgotten life,"Aldiss, Brian W.",1988,749301236,Main Collection,,-,-,,ALDI1/36-2,Squire 2,,ALDI1,36,2,,,A,,y,y,y,y,y,y,y
A Romance of the Equator,"Aldiss, Brian W.",1989,9.78058E+12,Main Collection,,-,-,,ALDI1/46,-,,ALDI1,46,,,,A,,y,y,y,y,y,y,y
"Supertoys Last All Summer Long, And Other Stories of Future Time","Aldiss, Brian W.",2001,9.78184E+12,Main Collection,,-,-,,ALDI1/55,-,,ALDI1,55,,,,A,,y,y,y,y,y,y,y
Nine Lives,"Alexander, Lloyd",1963,?,Main Collection,,-,-,,ALEX1/1,-,,ALEX1,1,,,,A,,y,y,y,y,-,y,y
The Book of Three,"Alexander, Lloyd",1964,?,Main Collection,,-,-,,ALEX1/2-1,Prydain Chronicles 1,,ALEX1,2,1,,,A,,y,y,y,y,-,y,y
The Black Cauldron,"Alexander, Lloyd",1965,?,Main Collection,,-,-,,ALEX1/2-2,Prydain Chronicles 2,,ALEX1,2,2,,,A,,y,y,y,y,-,y,y
The Castle of Llyr,"Alexander, Lloyd",1966,?,Main Collection,,-,-,,ALEX1/2-3,Prydain Chronicles 3,,ALEX1,2,3,,,A,,y,y,y,y,-,y,y
Taran Wanderer,"Alexander, Lloyd",1967,?,Main Collection,,-,-,,ALEX1/2-4,Prydain Chronicles 4,,ALEX1,2,4,,,A,,y,y,y,y,-,y,y
