The Han Solo Adventures: Star Wars,"Daley, Brian",2011,0345379802,Tie-In Novels,,-,-,,t/DALE1/,,DALE1,,,,D,,,,,,y,,,,,
Strike Zone,"David, Peter",1989,9781852860998,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
A rock and a hard place,"David, Peter",1990,0671693646,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Q-In-Law,"David, Peter",1991,0671733893,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Vendetta: The Giant Novel,"David, Peter",1991,9781852863791,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Imzadi,"David, Peter",1993,9780671850968,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Q-Squared,"David, Peter",1995,0671891510,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
The Captain's Daughter,"David, Peter",1995,0671520474,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
End Game,"David, Peter",1997,067101398X,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
House of Cards,"David, Peter",1997,0671013955,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Into the Void,"David, Peter",1997,0671013963,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
The two-front war,"David, Peter",1997,0671013971,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Fire on High,"David, Peter",1998,0671020374,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Martyr,"David, Peter",1998,0671020366,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Once Burned: The Captain's Table #5,"David, Peter",1998,0671020781,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
Triangle: Imzadi II,"David, Peter",1999,0671025384,Tie-In Novels,,-,-,,t/DAVI2/,,DAVI2,,,,D,,,,,,y,,,,,
